ngram,freq
datum set,46
life cycle,41
training set,23
real time,19
datum use,18
time series,18
model training,17
training datum,17
train model,17
data set,16
datum datum,16
hyper parameter,15
datum management,15
feature selection,15
datum asset,13
datum type,13
big datum,13
model use,12
amount datum,12
datum quality,12
datum collect,11
good practice,10
label datum,10
type datum,10
probability distribution,10
miss datum,9
datum point,9
model train,9
rotation speed,8
datum generate,8
datum collection,8
method use,8
quality datum,8
set use,8
use model,8
input datum,8
standard deviation,7
decision making,7
use train,7
datum model,7
datum format,7
model performance,6
training test,6
training process,6
selection model,6
datum source,6
time consume,6
different type,6
algorithm use,6
gradient descent,6
well understand,6
large number,6
use datum,6
large amount,6
case study,6
often call,5
datum different,5
multiple source,5
datum analysis,5
model parameter,5
example use,5
sensor datum,5
datum need,5
parameter value,5
datum structure,5
historical datum,5
learning algorithm,5
test set,5
generate datum,5
file format,4
large amount datum,4
data distribution,4
data item,4
use case,4
datum include,4
source datum,4
datum may,4
reference architecture,4
datum data,4
datum time,4
principal component,4
datum sample,4
datum preprocesse,4
raw datum,4
training test set,4
new training,4
technique use,4
use training,4
batch gradient,4
choose good,4
also useful,4
analysis process,4
take account,3
associate datum,3
power consumption,3
dimensionality reduction,3
stage use,3
also call,3
object datum,3
figure datum,3
performance datum,3
transform datum,3
datum know,3
first step,3
datum process,3
original datum,3
small batch,3
data type,3
representa tion,3
processing unit,3
representation datum,3
transfer learn,3
three main,3
technique include,3
may also,3
build model,3
system datum,3
map datum,3
use train model,3
many case,3
system use,3
role datum,3
end time,3
batch gradient descent,3
random variable,3
datum make,3
next section,3
learning model,3
high level,3
input output,3
model design,3
would like,3
datum use train,3
datum test,3
increase number,3
analysis datum,3
datum store,3
set datum,3
collect datum,3
neural network,3
use create,3
point datum,3
model output,3
one one,3
process datum,3
data reference,3
data point,3
analysis technique,3
one two,3
previous section,3
mini batch,3
large one,3
section datum,3
relate data,3
datum well,2
time data,2
time datum,2
model another,2
mean variance,2
view also,2
regression model,2
different time,2
may cause,2
divide datum,2
distribution function,2
also possible,2
platform use,2
also use,2
principal component analysis,2
result analysis,2
well datum,2
learn pattern,2
section outline,2
hierarchical structure,2
set value,2
well define,2
param eter,2
parameter define,2
worth note,2
accurate prediction,2
important role,2
include datum,2
select datum,2
set base,2
selection feature,2
serial number,2
accuracy model,2
intelligent manufacturing,2
address problem,2
simple example,2
make sure,2
generate new,2
visual representation,2
row column,2
machine learning model,2
play important role,2
statistical analysis,2
performance model,2
starting point,2
start end time,2
start end,2
also consider,2
sophisticated technique,2
first stage,2
follow approach,2
life cycle datum,2
algorithm work,2
learning technique,2
weight bias,2
machine learning,2
play important,2
transfer learning,2
datum method,2
covariance matrix,2
model well,2
provide overview,2
use time,2
black box,2
become increasingly,2
provide valuable,2
two dimensional,2
model time,2
datum information,2
datum item,2
could use,2
could also,2
need find,2
input vector,2
network base,2
cycle datum,2
datum distribution,2
prediction use,2
data set use,2
data structure,2
close look,2
data generation,2
multiple time,2
predictive maintenance,2
use represent,2
data analysis,2
datum come,2
use single,2
datum create,2
datum train,2
need set,2
data collection,2
often use,2
present section,2
correspond eigenvector,2
datum set datum,2
use monitor,2
new set,2
use example,2
datum retrieve,2
one time,2
value represent,2
train model use,2
datum quantity,2
column name,2
train fault,2
use full,2
component analysis,2
use generate,2
value type,2
approach use,2
value information,2
use different,2
datum multiple,2
pre process,2
content datum,2
contain two,2
procedure call,2
value datum,2
datum mining,2
contain multiple,2
datum processing,2
practical application,2
section use,1
process input,1
search search,1
performance common,1
section provide,1
selection good,1
prior knowledge,1
process feature,1
section contain,1
