ngram,freq
deep learning,17
time frequency,14
convolutional layer,13
datum set,13
fault diagnosis,13
neural network,11
feature map,11
raw signal,11
feature extraction,10
layer feature,10
case western,7
propose cnn,7
race fault,7
outer race,6
pool layer,6
hilbert huang,6
convolutional neural,6
rolling element,6
vibration signal,5
datum point,5
western reserve,5
frequency analysis,5
case western reserve,5
representation raw,5
huang transform,5
hilbert huang transform,5
outer race fault,5
data set,5
roll element,4
condition monitoring,4
computer vision,4
learning enable,4
time frequency analysis,4
analysis method,4
pattern recognition,4
deep learning enable,4
feature learning,4
convolutional neural network,4
rolling element bear,3
image datum,3
fully connect,3
frequency image,3
layer convolutional,3
fault detection,3
reserve university,3
training test,3
enable feature,3
train cnn,3
element bearing,3
feature learn,3
deep neural,3
element bear,3
image representation,3
time frequency image,3
support vector,3
support vector machine,3
inner race,3
deep neural network,3
deep convolutional,3
result table,3
morlet wavelet,3
vector machine,3
western reserve university,3
mechanical system,3
wavelet transform,3
vision pattern,3
computer vision pattern,3
provide overview,2
belief network,2
image generate,2
smith randall,2
image input,2
wang propose,2
multiple layer,2
rotate machinery,2
system ability,2
rolling element bearing,2
feature selection,2
sample rate,2
case study,2
machinery fault,2
inner race fault,2
image analysis,2
bear fault,2
use training,2
signal processing,2
extract feature,2
raw datum,2
machinery fault diagnosis,2
use within,2
short time fouri,2
fault condition,2
useful life,2
short time,2
remain useful,2
remain useful life,2
technique vary,2
time fouri transform,2
fully connect layer,2
knowledge feature,2
training time,2
training test set,2
parameter cnn,2
connect layer,2
frequency representation,2
frequency image analysis,2
pixel image,2
point datum,2
time frequency representation,2
cnn model,2
adaptive deep,2
cnn two,2
time fouri,2
deep convolutional neural,2
deep learn,2
learning framework,2
input cnn,2
test set,2
deep learning framework,2
result datum,2
prediction accuracy,2
fouri transform,2
monitoring fault,1
representa tion,1
restrict boltzmann,1
multidimensional datum,1
network base fault,1
representation datum,1
result analysis,1
rest paper,1
restrict boltzmann machine,1
network base,1
representation wavelet,1
rest paper organize,1
