ngram,freq
image feature,17
gru network,17
feature extraction,17
neural network,10
regression model,9
image processing,9
test set,6
ieee transaction,5
feature extraction method,5
large amount,5
extraction method,5
image feature extraction,4
principal component,4
feature extract,4
algorithm propose,4
university beijing,4
feature image,4
gaussian kernel,4
gate recurrent,3
control system,3
image base,3
training process,3
short term,3
gate recurrent unit,3
unit gru,3
university beijing china,3
beijing china,3
datum acquisition,3
recurrent unit,3
use gabor,3
amount datum,3
prediction result,3
prediction model,3
deep neural,3
deep neural network,3
original variable,3
recurrent unit gru,3
state parameter,2
term memory,2
feature input,2
feature extractor,2
distribution function,2
widely use,2
short term memory,2
image apply,2
operating condition,2
network base,2
per second,2
model measure,2
model base,2
probability distribution,2
real industrial,2
lstm network,2
long short term,2
long short,2
layer front,2
result obtain,2
large number,2
large amount datum,2
section introduce,2
image use,2
time frame,2
directly image,2
number sample,2
dimensionality reduction,2
datum pca,2
base image,2
base feature,2
use describe,2
analysis pca,2
correlation matrix,2
training set,2
base pca,2
datum industrial,2
build model,2
deep learning,2
wang zhang,1
use extract,1
process datum,1
process large,1
way identify,1
processing technique,1
random forest,1
random variable,1
often use,1
use image,1
use feature,1
real time,1
principal component analysis,1
reason use,1
use experimental,1
weight average,1
reduce feature,1
obtain use,1
relationship image,1
result analysis,1
obtain feature,1
use monitor,1
use multi,1
oscillate even,1
use obtain,1
part training,1
pattern base,1
pattern recognition,1
way address,1
pay attention,1
pca dimensionality,1
pca dimensionality reduction,1
pca method,1
usually contain,1
use train,1
performance analysis,1
use time,1
platform use,1
point use,1
optimal design,1
possible without,1
operation parameter,1
prediction algorithm,1
use study,1
possible capture,1
use control,1
use datum,1
traditional neural network,1
standard deviation,1
training datum,1
statistical analysis,1
statistical analysis method,1
obtain datum,1
syntax semantic,1
system datum,1
table show,1
temperature measurement,1
train model,1
traditional neural,1
time performance,1
term memory lstm,1
time step,1
term memory neural,1
test figure,1
time series,1
time prediction,1
therefore limit,1
three layer,1
three main,1
three method,1
training neural,1
training neural network,1
stage use,1
speed training,1
sample time,1
scale select,1
update reset,1
section summary,1
set close,1
university china,1
unit network,1
set train,1
two method,1
two direction,1
set training,1
true value,1
training time,1
set training test,1
training test set,1
training test,1
show original,1
show result,1
training set close,1
sigmoid function,1
similar human,1
study use,1
accurate prediction,1
number feature,1
correspond eigenvector,1
datum collect,1
datum collection,1
datum data,1
datum every,1
datum feature,1
datum generate,1
datum make,1
datum matrix,1
datum point,1
datum section,1
deep learning algorithm,1
deep learning model,1
detection use,1
directly apply,1
especially important,1
even impossible,1
experimental result,1
extract feature,1
extraction base,1
extraction technique,1
feature base,1
feature extraction base,1
feature original,1
feature time,1
feature use,1
figure datum,1
figure model,1
data distribution,1
convolution neural network,1
neural network also,1
convolution neural,1
acquisition process,1
acquisition system,1
address problem,1
algorithm two,1
algorithm use,1
also change,1
also maintain,1
also show,1
also use,1
analysis compute,1
analysis method,1
analysis technique,1
author declare,1
average value,1
back propagation,1
base deep,1
base deep neural,1
carefully design,1
certain distance,1
collect datum,1
component analysis,1
component analysis pca,1
computer vision,1
condition ieee,1
condition use,1
construct use,1
content datum,1
form new,1
frequency domain,1
frequency response,1
future research,1
measurement result,1
measurement use,1
measurement zhang,1
memory lstm,1
memory neural,1
method another,1
method base,1
method combine,1
method extract,1
achieve excellent,1
method propose,1
method term,1
model construct,1
model output,1
model requirement,1
model time,1
model time series,1
model well,1
much possible,1
multi channel,1
multi mode,1
network also,1
network combine,1
network construct,1
network data,1
network however,1
network use,1
mean variance,1
mean absolute,1
machine learning,1
image use train,1
gao huang,1
gaussian distribution,1
gaussian process,1
generate image,1
grayscale image,1
historical datum,1
however even,1
ieee access,1
image additionally,1
image analysis,1
image datum,1
image generate,1
industrial application,1
machine learn,1
information available,1
input variable,1
language use,1
large scale,1
layer set,1
learning algorithm,1
learning model,1
learning rate,1
learning technique,1
least square,1
list table,1
load high,1
method extract feature,1
