ngram,freq
symbol select,26
configuration pane,20
would like,15
table symbol,14
display click,13
select add,13
time range,11
right click,11
search criterion,11
data item,11
comparison table,10
pencil icon,10
display select,9
add datum,8
click save,8
vision display,8
menu select,7
select click,6
time series,6
power consumption,6
datum item,6
search root,6
start end,6
click symbol,6
end time,6
click symbol select,5
page open,5
hold ctrl,5
button select,5
page click,5
add multi,5
user account,5
attribute display,5
change display,5
save change,5
select value,5
datum well,4
look like,4
pane select,4
hold ctrl key,4
search select,4
button toolbar,4
item display,4
ctrl key,4
display time,4
page right,4
show page,4
maximum value,4
start end time,4
name attribute,4
start time,4
symbol right,4
toolbar click,4
configuration pane select,4
page note,4
use display,4
key click,3
like page,3
click edit,3
pressure attribute,3
click new,3
make use,3
make sure,3
want create,3
need create,3
want make,3
look like page,3
page add,3
list show,3
page create,3
page update,3
click display,3
display user,3
currently select,3
select trend,3
datum source,3
user access,3
attribute column,3
attribute name,3
table select,3
final exam,3
aveva group,3
aveva group plc,3
gear icon,3
group plc,3
repeat step,3
select well,3
value show,3
select group,3
drag drop,3
result look,3
click apply,3
right table,3
root level,3
check box,3
list display,2
display together,2
mode use,2
display data,2
find element,2
look something,2
include well,2
however would,2
element set,2
element attribute,2
hold shift,2
group plc subsidiary,2
need make,2
multiple attribute,2
total downtime,2
show asset,2
show attribute,2
similar one,2
source datum,2
still use,2
symbol value,2
time context,2
trend display,2
select use,2
two different,2
type page,2
value exist,2
value right,2
value trend,2
want use,2
would also,2
set read,2
select right,2
multiple source,2
permission page,2
multiple time,2
name trademark,2
one item,2
option click,2
option use,2
page select,2
pane click,2
plc subsidiary,2
select asset,2
product name,2
digital state,2
read access,2
scale select,2
search result,2
section use,2
see asset,2
product name trademark,2
write permission,2
configuration option,2
asset type,2
click add,2
click refresh,2
datum multiple source,2
allow user,2
column click,2
change context,2
datum multiple,2
add trend,2
datum marker,2
asset select,2
asset framework,2
compare multiple,2
attribute trend,2
datum archive,2
create use,2
also delete,2
create one,2
create new,2
add new,2
copy paste,2
bulk edit,1
set event,1
step click,1
step show,1
attribute use,1
set datum,1
series datum,1
brand product name,1
build edit,1
subsidiary right,1
set match,1
button copy,1
select time,1
select three,1
select table,1
subsidiary right reserve,1
select search,1
subsidiary united,1
select row,1
calculation basis,1
select replace,1
set example,1
available option,1
starting point,1
set permission,1
somewhere else,1
size make,1
since time,1
aveva logo aveva,1
show well,1
show value data,1
show value,1
aveva product,1
aveva logo,1
aveva aveva logo,1
show original,1
show last,1
select next,1
aveva product name,1
basic page,1
setting note,1
aveva aveva,1
setting button,1
brand product,1
select page,1
different item,1
select link,1
select line,1
chart use,1
check course,1
row show,1
row display,1
row change,1
check course list,1
road cambridge tel,1
road cambridge,1
right reserve aveva,1
right reserve,1
click apply page,1
return event,1
result look like,1
click change,1
respective company aveva,1
respective company,1
reserve aveva aveva,1
reserve aveva,1
represent one,1
click copy,1
relationship exist,1
register trademark aveva,1
register trademark,1
search create,1
chart show,1
search display,1
select change,1
select item display,1
select item,1
calculation create,1
select find,1
select file,1
select edit,1
select different item,1
select different,1
select convert,1
calculation result,1
select attribute,1
chart display,1
cambridge tel,1
select appropriate,1
select apply,1
cambridge tel fax,1
see value,1
see create,1
change attribute,1
change click,1
section contain,1
change make,1
subsidiary united kingdom,1
table row,1
attribute template,1
use context,1
already use,1
value drop,1
value data,1
user make,1
also possible,1
also use,1
use within,1
use time series,1
use time,1
use new,1
use multi,1
use model,1
use microsoft,1
use link,1
use label,1
use full,1
use find,1
use exist,1
analysis addition,1
use different,1
use default,1
use datum,1
use current,1
value run,1
administrator task,1
value update,1
window note,1
would possible,1
would need,1
add column,1
add label,1
work would,1
within time,1
within team,1
within cloud,1
window select,1
window return,1
well use,1
view attribute,1
well change,1
want see,1
want know,1
want edit,1
addition original,1
vision trend,1
additional attribute,1
view timestamp,1
view page,1
view event,1
use correct,1
update table,1
symbol symbol,1
uom value,1
attribute add,1
three different,1
text value,1
template create,1
template context,1
temperature attribute,1
tel fax,1
task objective,1
take online please,1
take online,1
take close look,1
take close,1
take advantage,1
table use,1
table table,1
attribute change,1
table show,1
attribute point,1
reason use,1
table page,1
tab click,1
system explorer,1
attribute select,1
time data,1
time datum,1
asset work,1
area configuration,1
united kingdom country,1
united kingdom,1
unit measure uom,1
unit measure,1
type set,1
type request,1
apply page,1
two value,1
two type,1
two time,1
trend time,1
time request,1
area use,1
trademark respective company,1
trademark respective,1
trademark register trademark,1
trademark register,1
trademark aveva group,1
trademark aveva,1
timestamp value,1
time stamp,1
time series datum,1
record value,1
previous section,1
read permission,1
currently work,1
intuitive way,1
introduction build,1
introduce new,1
information would,1
information show,1
increase number,1
data marker,1
include datum,1
identity click add,1
identity click,1
identity access,1
data set,1
database click,1
database page,1
date last,1
high cross madingley,1
high cross,1
header data,1
group select,1
group plc high,1
datum asset,1
grant read access,1
grant read,1
item click,1
item select,1
make sense,1
current work,1
make copy,1
make configuration change,1
make configuration,1
madingley road cambridge,1
madingley road,1
logo aveva product,1
logo aveva,1
criterion filter,1
list online detail,1
list online,1
cross madingley,1
link select,1
link one,1
cross madingley road,1
level database,1
least one,1
learn use,1
large number,1
label use,1
label instance,1
know information,1
kingdom country brand,1
kingdom country,1
get value,1
general idea,1
datum create,1
functionality work,1
element create,1
element copy,1
element click,1
datum set,1
efficient way,1
dropdown list,1
drag location,1
datum source datum,1
datum standard,1
datum within,1
default setting,1
display table,1
delete page,1
display result,1
display datum,1
description change,1
display content,1
detail right,1
display also,1
display additional,1
difference two,1
different type,1
different time,1
element select,1
datum right,1
element template,1
explorer use,1
function well,1
following page,1
follow goal,1
follow feature,1
fix next,1
first change,1
final exam page,1
final exam final,1
final exam course,1
feature element,1
explorer click,1
element verify,1
example well,1
example use,1
example show,1
example last,1
exam page introduction,1
exam page,1
exam final exam,1
exam final,1
exam course take,1
exam course,1
make modification,1
create click,1
click create,1
column attribute,1
page time,1
page set,1
column header,1
page right click,1
column list,1
page repeat,1
page page,1
column table,1
company aveva,1
page introduction,1
page hide,1
page edit,1
page drag drop,1
page drag,1
company aveva group,1
page configuration,1
page approach,1
page also,1
configuration change,1
outside scope,1
option select,1
option page,1
configuration panel,1
pane attribute,1
pane element,1
course take online,1
pane right,1
property select,1
click data,1
click first,1
different scale,1
click name,1
present display,1
powerful feature element,1
powerful feature,1
click open,1
point attribute,1
plot allow,1
please check course,1
please check,1
plc subsidiary united,1
plc subsidiary right,1
plc high cross,1
plc high,1
permission parent,1
click row,1
perform well,1
click search,1
paste ctrl,1
close look,1
open vision,1
open select,1
online please check,1
online please,1
name temperature,1
name select,1
name page,1
name element,1
name click,1
name change,1
context time,1
must make,1
country brand,1
country brand product,1
course list,1
mode see,1
might need,1
message display,1
message attribute,1
course list online,1
measure uom,1
may notice,1
may make,1
may also,1
course take,1
mark show,1
many different,1
context display,1
name trademark register,1
name trademark respective,1
note start,1
online detail,1
one variable,1
one time,1
one row,1
contain one,1
one datum,1
often use,1
object type,1
object datum,1
number time,1
next step,1
content introduction,1
newly create,1
new type,1
new parent,1
new one,1
new child,1
need manually,1
need make configuration,1
access user,1
need find,1
need display,1
able edit,1
