word,tf
feature,58
image,49
layer,47
datum,46
cnn,43
fault,39
use,33
signal,33
architecture,32
learning,32
hht,31
time,30
deep,30
scalogram,28
set,27
spectrogram,26
frequency,25
convolutional,25
hindawi,19
model,19
analysis,19
volume,18
result,18
publishing,18
propose,17
shockandvibration,17
representation,17
raw,17
within,16
method,16
two,16
network,15
diagnosis,15
size,15
proposedcnnarchitecture,14
corporation,14
neural,14
vector,14
map,14
table,14
learn,13
wavelet,13
journal,13
extraction,13
transform,11
case,11
input,11
vibration,11
one,11
mfpt,11
system,11
follow,10
stft,10
noise,10
bear,10
element,10
traditional,10
race,9
therefore,9
base,9
outer,9
pooling,9
construction,9
sensitivity,8
hilbert,8
diagnostic,8
due,8
cwr,8
condition,8
stage,8
point,8
classification,7
component,7
pool,7
western,7
usa,7
rolling,7
section,7
data,7
three,7
huang,7
bearing,7
ability,7
accuracy,7
baseline,7
parameter,6
algorithm,6
specificity,6
basis,6
computer,6
paper,6
modeling,6
machine,6
sample,6
show,6
learnable,6
application,6
additionally,6
train,6
technique,6
rate,6
outline,6
different,6
training,6
svmpca,5
prediction,5
pixel,5
machinery,5
choose,5
recognition,5
consist,5
filter,5
liu,5
enable,5
engineering,5
however,5
involve,5
detection,5
true,5
figure,5
precision,5
methodology,5
pattern,5
bias,5
perform,5
high,5
process,5
without,5
require,5
effect,5
reserve,5
mode,5
function,5
outperform,5
selection,5
include,5
value,5
support,5
generate,5
second,5
resolution,5
via,5
approach,4
mechanical,4
unit,4
negative,4
prior,4
mean,4
measure,4
construct,4
test,4
examine,4
predict,4
apply,4
vision,4
inner,4
loss,4
matrix,4
class,4
knowledge,4
lsvmflat,4
imagesize,4
similar,4
morlet,4
lsvmpca,4
provide,4
quantity,4
mlpflat,4
svm,4
svmflat,4
study,4
mlppca,4
ball,4
asset,4
ieee,4
series,4
roll,4
linear,4
vary,4
pca,4
well,4
overall,4
output,4
university,4
monitoring,4
present,4
nonlinear,3
experimental,3
effective,3
explore,3
add,3
additional,3
adaptive,3
double,3
diagnose,3
lecun,3
except,3
hidden,3
life,3
number,3
note,3
dropout,3
review,3
limit,3
normalize,3
estimate,3
often,3
example,3
split,3
load,3
local,3
evaluate,3
could,3
smith,3
confusion,3
low,3
connect,3
reliance,3
center,3
early,3
multiple,3
chu,3
short,3
featureless,3
useful,3
feed,3
shock,3
proceeding,3
overlap,3
classify,3
tail,3
first,3
moment,3
versus,3
fully,3
final,3
information,3
imfs,3
important,3
processing,3
beyond,3
amount,3
divide,3
allow,3
reduce,3
incorporate,3
remain,3
illustrate,3
andhht,3
complete,3
extract,3
part,3
comparison,3
weight,3
emphasize,3
conference,3
original,3
similarity,3
forthe,3
ensemble,2
spectrum,2
step,2
effectiveness,2
statistically,2
stack,2
emd,2
effectively,2
strength,2
either,2
still,2
proposedcnn,2
stopping,2
engineer,2
janssens,2
abdeljaber,2
introduction,2
samanta,2
rely,2
fouri,2
framework,2
representa,2
search,2
scientific,2
science,2
scalogramsfortheproposedarchitecture,2
gaussian,2
scaling,2
genetic,2
santiago,2
gpu,2
form,2
great,2
guo,2
run,2
handle,2
rotate,2
help,2
role,2
heuristic,2
identical,2
respectively,2
horizontally,2
horsepower,2
sensor,2
increase,2
interpolation,2
reduction,2
international,2
randall,2
even,2
intent,2
expert,2
recent,2
sinusoidal,2
fac,2
instantaneous,2
failure,2
falsepositive,2
far,2
significant,2
separate,2
faultsversus,2
feng,2
ing,2
regression,2
share,2
shallow,2
filtering,2
relationship,2
industry,2
industrial,2
flat,2
relu,2
khz,2
dataset,2
power,2
chile,2
tion,2
motor,2
max,2
appear,2
much,2
phase,2
cnnarchitecture,2
pixelimageinput,2
wang,2
common,2
plot,2
manually,2
conflict,2
make,2
possible,2
optimum,2
bank,2
amplitude,2
context,2
control,2
convolution,2
although,2
predefine,2
article,2
tional,2
localization,2
may,2
page,2
mix,2
babu,2
mixing,2
belief,2
mlp,2
ture,2
automatically,2
automatic,2
benefit,2
autoencoder,2
tree,2
metric,2
author,2
bilinear,2
bin,2
peak,2
peng,2
overview,2
capability,2
artificial,2
measurement,2
central,2
location,2
universityofchile,2
optimal,2
ohio,2
level,2
less,2
nonparametric,2
decomposition,2
ofthe,2
across,2
problem,2
tecture,2
technology,2
derivative,2
large,2
suffer,2
accurately,2
direct,2
accomplish,2
label,2
subsampling,2
kurtosis,2
domain,2
work,2
lee,2
advance,2
create,2
crest,2
lin,2
open,2
cvpr,2
optimize,1
ofsoundandvibration,1
onthe,1
replacement,1
remove,1
resp,1
ofraw,1
ofnoise,1
ontraditionalfeatureextraction,1
remark,1
orsubsample,1
ofmode,1
overlappingof,1
response,1
optimization,1
reproduction,1
ofinformation,1
offeature,1
ofextractedfeature,1
ofconvolutionalchannel,1
represent,1
overfitte,1
otherwise,1
overfeat,1
oncefeaturesareextracte,1
ously,1
organizethe,1
outcomeof,1
representationlearne,1
organize,1
ogy,1
outerrace,1
representeda,1
outlinesthe,1
oncethedataimagesweregenerate,1
researcharticle,1
research,1
ofthefeatureswasnormalizedusingthemeanandstandarddeviationofthefirstbaselinecondition,1
orextraction,1
representedgraphically,1
reserveuniversity,1
optoelectronic,1
resolutionlossfromthereduction,1
representedin,1
resource,1
ong,1
onstft,1
propagationinternational,1
regard,1
