word,tf
image,128
feature,94
ﬂame,92
combustion,65
boiler,64
use,49
texture,47
gabor,37
network,35
datum,34
base,31
control,30
method,30
glcm,29
industrial,28
gru,28
model,27
figure,26
omega,25
algorithm,23
regression,23
prediction,22
process,22
information,22
pca,21
system,18
point,17
obtain,17
variable,17
analysis,17
burner,17
extraction,17
parameter,16
state,16
result,16
study,16
show,15
flame,15
neural,15
content,15
ﬁlter,15
extract,15
acs,15
matrix,14
article,14
training,14
set,13
xcontent,13
camera,13
gate,12
sample,12
respectively,12
scale,12
characteristic,12
large,12
processing,12
frame,11
gaussian,11
certain,11
time,11
paper,11
correlation,11
gas,11
weight,10
kernel,10
china,10
propose,10
experimental,10
color,10
function,10
apply,10
capture,10
describe,10
two,9
furnace,9
detection,9
test,9
direction,9
average,9
directly,9
contain,9
ﬀerent,9
measurement,9
reduce,9
mape,9
original,9
acquisition,9
total,8
noxcontent,8
number,8
occurrence,8
energy,8
three,8
perform,8
layer,8
ﬂue,8
value,8
oxygen,8
temperature,7
coal,7
technique,7
also,7
author,7
output,7
engineering,7
correspond,7
operation,7
computer,7
ieee,7
important,7
therefore,7
power,7
eight,6
amount,6
frequency,6
pixel,6
monitoring,6
mutual,6
well,6
transaction,6
comparison,6
channel,6
predict,6
cheng,6
possible,6
epoch,6
status,6
data,6
zhang,6
associate,6
six,6
high,6
measure,6
highlight,6
mean,6
select,6
university,5
make,5
term,5
air,5
electric,5
chemical,5
however,5
without,5
component,5
combine,5
deep,5
signi,5
lstm,5
ﬁeld,5
reaction,5
variance,5
follow,5
near,5
level,5
statistic,5
update,5
condition,5
read,5
change,5
pattern,5
laboratory,5
rgb,5
north,5
ﬃciency,5
characterize,5
delay,4
load,4
outlet,4
research,4
train,4
instal,4
convolution,4
retain,4
lag,4
section,4
reset,4
ultrasupercritical,4
location,4
unit,4
local,4
construct,4
improve,4
gray,4
statistical,4
rate,4
sun,4
quantity,4
filter,4
quantitative,4
generate,4
geometric,4
learning,4
performance,4
stage,4
relationship,4
grayscale,4
determine,4
mainly,4
experiment,4
operate,4
machine,4
single,4
operating,4
disturbance,4
distribution,4
theﬂame,4
similar,4
principal,4
thus,4
pulverize,4
ﬃcult,4
target,4
burn,4
ﬁed,4
complex,4
collect,4
beijing,4
way,4
analyze,4
ﬂect,4
complete,4
video,4
