word,tf
display,304
select,136
click,136
symbol,130
page,104
well,101
asset,98
vision,90
trend,77
right,74
value,67
use,64
add,55
pane,53
table,52
event,52
time,51
create,50
attribute,48
show,42
oil,42
production,42
save,42
name,39
open,38
change,38
calculation,37
folder,37
button,37
option,36
datum,36
search,35
configuration,33
set,32
north,31
mode,31
drag,31
detail,31
dakota,30
menu,30
top,30
pad,30
context,28
format,27
icon,26
user,26
like,26
item,25
hoc,25
aveva,25
see,25
design,24
area,24
text,23
rate,23
new,23
challenge,23
link,23
one,22
switch,22
configure,22
toolbar,21
graphic,21
note,21
label,21
bar,21
section,21
make,20
team,20
overview,20
would,20
want,20
find,19
element,19
collection,19
within,19
downtime,18
gauge,18
column,18
need,18
access,18
multi,18
navigation,17
home,17
plot,17
also,17
data,17
next,17
exist,17
workspace,17
range,16
view,16
state,16
copy,15
criterion,15
start,15
scale,15
look,15
type,15
update,15
drop,14
modify,14
list,14
dropdown,14
edit,14
dashboard,14
onto,14
back,14
result,14
color,14
multiple,13
pencil,13
initial,13
work,13
two,13
return,12
comparison,12
management,12
order,12
side,12
crosby,12
may,12
chart,12
left,12
ruler,12
monitor,12
trace,12
url,12
corner,11
line,11
different,11
identity,11
style,11
font,11
delete,11
build,11
filter,11
current,11
group,10
since,10
cursor,10
system,10
ctrl,10
optional,10
step,10
allow,10
permission,10
single,10
root,9
drill,9
hour,9
possible,9
last,9
include,9
read,9
setting,9
status,9
still,9
bottom,9
techcon,9
visibility,9
unit,8
another,8
similar,8
manage,8
message,8
end,8
example,8
follow,8
size,8
database,8
temperature,8
able,8
point,8
keyword,8
labs,8
header,8
hide,8
compare,8
highlight,8
part,7
paste,7
browser,7
key,7
hyperlink,7
take,7
window,7
three,7
number,7
get,7
enable,7
verify,7
first,7
timestamp,7
background,7
together,7
functionality,7
arrange,7
lab,7
maximum,7
low,7
power,7
leave,7
level,7
analysis,7
contain,7
hold,7
repeat,7
default,7
remove,7
shift,7
resize,7
know,6
four,6
request,6
deselect,6
explore,6
title,6
row,6
currently,6
box,6
source,6
anywhere,6
outline,6
server,6
keyboard,6
week,6
grant,6
avg,6
consumption,6
navigate,6
move,6
separate,6
tubing,6
adjust,6
information,6
instead,6
place,6
series,6
tag,6
rectangle,5
appropriate,5
reason,5
close,5
toggle,5
far,5
minimum,5
expand,5
previous,5
llc,5
introduction,5
write,5
account,5
however,5
run,5
second,5
grid,5
gear,5
uom,5
role,5
way,5
already,5
enter,5
vertical,5
limit,5
share,5
apply,5
choose,5
organize,5
populate,5
third,5
tahoma,5
something,5
position,5
city,5
check,5
perform,5
outside,5
pressure,5
content,5
bring,5
documentation,4
rig,4
shape,4
provide,4
learn,4
align,4
demo,4
legend,4
switching,4
lick,4
project,4
sure,4
client,4
dickinson,4
space,4
specific,4
checkbox,4
homepage,4
horizontal,4
prepare,4
help,4
processbook,4
williston,4
case,4
addition,4
descendant,4
interval,4
final,4
admin,4
picture,4
owner,4
draw,4
engineering,4
every,4
radial,4
fill,4
explorer,4
underneath,4
quick,4
basis,4
appear,4
recently,4
feature,4
either,4
locate,4
field,4
file,4
available,4
automatically,4
trademark,3
might,3
simply,3
plc,3
please,3
specify,3
site,3
tick,3
weight,3
migrate,3
middle,3
must,3
track,3
important,3
white,3
idea,3
template,3
screen,3
recent,3
tab,3
introduce,3
member,3
relate,3
shortcut,3
sync,3
original,3
rather,3
light,3
replace,3
machine,3
simple,3
summary,3
understand,3
late,3
parameter,3
many,3
marker,3
weather,3
mean,3
path,3
product,3
stanley,3
keep,3
operation,3
ability,3
custom,3
around,3
band,3
become,3
dynamic,3
duration,3
double,3
calc,3
difference,3
determine,3
cloud,3
general,3
finding,3
finish,3
function,3
control,3
convert,3
fourth,3
course,3
ask,3
bit,3
cover,3
administrator,3
additional,3
adapt,3
exit,3
high,3
active,3
activate,3
exam,3
purpose,2
process,2
denote,2
public,2
publisher,2
cut,2
date,2
desktop,2
customize,2
recommend,2
expect,2
record,2
red,2
reference,2
refresh,2
migrated,2
descriptive,2
offset,2
else,2
dynamically,2
offer,2
online,2
eight,2
editor,2
objective,2
editable,2
object,2
orientation,2
easy,2
easily,2
newly,2
plant,2
month,2
region,2
parent,2
displa,2
particular,2
digital,2
performing,2
executive,2
person,2
modification,2
modernize,2
scheme,2
remember,2
blank,2
beneath,2
tech,2
belong,2
tell,2
begin,2
basic,2
timebar,2
tipp,2
total,2
arrow,2
trash,2
archive,2
approach,2
underlie,2
appendix,2
anomaly,2
version,2
along,2
allot,2
visualize,2
word,2
across,2
accordingly,2
task,2
book,2
couple,2
border,2
rid,2
could,2
rightmost,2
experiment,2
selecting,2
selection,2
con,2
completely,2
complete,2
company,2
come,2
colleague,2
showcase,2
clipboard,2
singleton,2
snap,2
child,2
cause,2
string,2
student,2
styling,2
subfolder,2
subsidiary,2
experience,2
zoom,2
matter,2
leverage,2
gray,2
hear,2
framework,2
large,2
match,2
logo,2
mark,2
library,2
fortunately,2
long,2
facility,2
manually,2
location,2
least,2
less,2
importance,2
lose,2
interact,2
interest,2
favorite,2
green,2
familiar,2
main,2
illustration,2
heavily,2
image,2
five,2
expert,2
functional,2
hover,2
give,2
export,2
full,2
kenmare,2
explicitly,2
individual,2
hierarchy,2
hot,2
goal,1
ing,1
good,1
structure,1
infrequent,1
subject,1
glance,1
strength,1
informative,1
streamlined,1
strategic,1
store,1
graphical,1
benefit,1
sufficient,1
bin,1
installation,1
browse,1
swappable,1
brand,1
bother,1
swap,1
calculate,1
instance,1
surprise,1
gradient,1
bulk,1
support,1
bundle,1
initially,1
tabular,1
graph,1
breakdown,1
microsoft,1
standard,1
call,1
investigate,1
classify,1
clean,1
issue,1
clear,1
clearly,1
simultaneously,1
istrator,1
simplified,1
cluttered,1
code,1
job,1
col,1
shortcuts,1
collapse,1
gather,1
gantt,1
several,1
furthermore,1
kingdom,1
comprehensive,1
serve,1
sketch,1
solution,1
cambridge,1
choice,1
statistic,1
casing,1
starting,1
categorize,1
star,1
categorizing,1
inexperienced,1
stamp,1
stage,1
spring,1
spread,1
intuitive,1
specifically,1
cell,1
specialized,1
checkmark,1
south,1
investigat,1
sound,1
sort,1
somewhere,1
tel,1
thumbnail,1
believe,1
united,1
viewable,1
ich,1
via,1
