word,tf
fault,404
diagnosis,312
network,308
convolutional,222
datum,188
base,183
use,172
cnn,154
deep,144
feature,140
bear,138
signal,132
method,130
neural,128
model,111
learning,101
dataset,100
condition,90
bearing,88
vibration,86
ieee,84
domain,80
propose,78
transfer,76
classiﬁcation,75
machine,74
learn,67
wang,65
train,63
health,61
image,60
prediction,59
multi,59
input,57
sensor,57
convolution,57
different,56
zhang,56
time,55
application,54
trans,49
layer,49
fig,49
machinery,47
present,45
approach,45
intelligent,44
process,44
raw,42
gear,42
motor,42
result,42
jiao,42
ind,41
liu,40
show,40
design,39
review,39
chen,38
tion,38
transform,37
mechanical,37
adversarial,37
monitoring,36
damage,36
gearbox,36
also,35
neurocompute,34
parameter,34
zhao,34
frequency,33
fusion,33
two,33
residual,33
speed,33
work,32
rotate,32
research,32
develop,31
real,31
sample,31
syst,31
algorithm,30
conv,30
rul,30
diagnostic,29
apply,29
test,29
performance,29
therefore,29
wavelet,29
adaptation,28
information,28
one,28
degradation,28
construct,27
employ,27
addition,27
rolling,26
include,26
kernel,26
yang,25
lstm,25
life,25
operating,25
introduce,24
thus,24
mech,23
remain,23
training,23
estimation,23
table,23
current,23
distribution,22
useful,22
data,22
characteristic,22
high,22
adaptive,22
gradient,22
framework,21
variable,21
matrix,21
scale,21
electron,21
three,21
literature,20
study,20
cnfd,20
well,20
multiple,20
cwru,20
achieve,20
new,20
utilize,20
mean,20
system,20
improve,19
lin,19
sgd,19
label,19
comput,19
guo,19
gao,19
novel,18
level,18
build,18
state,18
identiﬁcation,18
university,18
unit,18
classiﬁer,18
function,18
ﬁeld,18
gan,18
planetary,18
scenario,17
huang,17
however,17
experimental,17
industrial,17
analysis,17
issue,16
output,16
column,16
reduce,16
spectrum,16
basel,16
aim,16
architecture,16
size,16
usually,16
rate,16
shaft,16
dimensional,16
element,16
generate,16
ensemble,16
industry,16
various,15
han,15
operation,15
ing,15
integrate,15
encoder,15
task,15
contain,15
decision,15
small,15
technology,15
set,15
accord,15
yan,15
tool,15
target,15
measurement,15
access,15
several,15
generative,15
type,15
weight,14
follow,14
sci,14
obtain,14
turbine,14
acquire,14
meas,14
number,14
describe,14
separable,14
adam,14
recognition,14
although,14
zhu,14
eng,14
researcher,14
problem,14
loss,14
sun,14
combine,14
mmd,14
complex,14
extraction,14
wear,14
connect,13
discrepancy,13
due,13
public,13
furthermore,13
phm,13
respectively,13
representation,13
difference,13
become,13
equipment,13
ture,13
address,13
convert,13
extract,13
detection,13
environment,13
inform,13
section,13
wen,13
description,13
popular,13
china,12
rotor,12
even,12
liang,12
multiscale,12
jiang,12
summarize,12
end,12
increase,12
ding,12
example,12
exist,12
still,12
editor,12
make,12
since,12
map,12
failure,12
source,12
construction,12
variant,12
connection,12
large,12
jia,12
update,12
practical,12
processing,12
pub,12
ﬁrstly,12
place,12
non,12
wind,12
requirement,12
pre,12
proc,12
acoustic,12
induction,11
artiﬁcial,11
shao,11
category,11
provide,11
prognostic,11
mode,11
engine,11
lei,11
assessment,11
calculate,11
term,11
may,11
measure,11
consider,11
xie,11
give,11
summary,11
realistic,11
second,11
peng,11
enhance,11
correlation,11
tang,10
optimization,10
imbalance,10
common,10
hierarchical,10
series,10
strategy,10
year,10
rig,10
four,10
especially,10
stft,10
joint,10
noise,10
point,10
pattern,10
depthwise,10
stationary,10
activation,10
engineering,10
hybrid,10
technol,10
relu,10
local,10
batch,10
original,10
list,9
big,9
nosis,9
square,9
experiment,9
spur,9
low,9
simple,9
attention,9
adopt,9
resnet,9
paderborn,9
explore,9
development,9
drive,9
kim,9
recurrent,9
many,9
load,9
packet,9
science,9
mapss,9
pooling,9
collect,9
instrum,9
rmse,9
qin,9
another,9
roll,9
subsection,9
necessary,9
fully,9
milling,9
average,8
accelerometer,8
speciﬁcally,8
zhou,8
part,8
promote,8
maximum,8
reference,8
case,8
help,8
able,8
decomposition,8
electric,8
comprehensive,8
race,8
normalization,8
working,8
object,8
represent,8
short,8
accuracy,8
monitor,8
conf,8
difﬁcult,8
energy,8
traditional,8
advanced,8
instance,8
uncertainty,7
ﬁrst,7
defect,7
linear,7
transformation,7
noisy,7
outer,7
cao,7
establish,7
promise,7
descent,7
improved,7
lee,7
channel,7
excellent,7
relate,7
inner,7
gate,7
lead,7
rpm,7
empirical,7
emission,7
previous,7
reliability,7
stack,7
cross,7
temporal,7
name,7
khz,7
nal,7
engineer,7
collection,7
long,7
sparse,7
structure,7
optimizer,7
spectral,7
svm,7
accurate,7
helical,7
ﬁve,7
receptive,7
compose,7
van,7
finally,7
require,7
note,7
alignment,7
indicator,7
modern,7
main,7
generally,7
auto,6
trend,6
continuous,6
component,6
occur,6
receive,6
bgd,6
worth,6
temperature,6
typical,6
paper,6
six,6
shen,6
yuan,6
display,6
meanwhile,6
intuitive,6
direction,6
memory,6
prospect,6
discriminator,6
dilate,6
last,6
good,6
conference,6
past,6
adv,6
turbofan,6
volutional,6
schematic,6
generalization,6
value,6
speciﬁc,6
focus,6
mae,6
cut,6
thermal,6
int,6
factor,6
dual,6
cutter,6
understanding,6
moreover,6
single,6
platform,6
ball,6
afrasiabi,6
far,6
dropout,6
femto,6
capsule,6
yao,6
capability,6
error,6
hoang,6
deng,6
prognosis,6
mao,6
widely,6
representative,6
perform,6
momentum,6
jiaotong,6
selection,6
total,5
arxiv,5
trick,5
signiﬁcant,5
journal,5
pool,5
tional,5
preprint,5
dong,5
early,5
important,5
recent,5
inception,5
distance,5
third,5
interest,5
spatiotemporal,5
kang,5
squared,5
inspire,5
eren,5
predict,5
physical,5
appl,5
understand,5
response,5
directly,5
next,5
luo,5
stochastic,5
take,5
hinton,5
making,5
hilbert,5
belief,5
manufacturing,5
select,5
carry,5
via,5
proper,5
cnc,5
force,5
step,5
ﬁne,5
block,5
reveal,5
weak,5
coefﬁcient,5
fouri,5
metric,5
school,5
general,5
combination,5
qiao,5
suitable,5
sampling,5
comparison,5
active,5
generation,5
fan,5
xiao,5
depth,5
exponential,5
cheng,5
identify,5
rotational,5
vision,5
dilated,5
choice,5
certain,5
challenge,5
dimension,5
tune,5
net,5
illustration,5
run,5
cause,5
produce,5
degree,5
decay,5
rule,5
roller,5
owe,5
severity,5
light,5
future,5
chu,5
pose,4
among,4
superiority,4
position,4
publish,4
amount,4
pump,4
infrared,4
spatial,4
spatially,4
ability,4
imagenet,4
tic,4
hpc,4
probability,4
prior,4
theory,4
ignore,4
procedia,4
exploration,4
ter,4
stage,4
external,4
statistic,4
spindle,4
radial,4
ince,4
reader,4
adagrad,4
accelerate,4
incipient,4
ﬁlter,4
promising,4
feed,4
hel,4
systemically,4
propagation,4
hasan,4
gru,4
rapidly,4
envelope,4
sufﬁcient,4
get,4
allow,4
root,4
qian,4
pan,4
xing,4
dense,4
restrict,4
densely,4
depend,4
parallel,4
consequently,4
ring,4
attract,4
ment,4
nostic,4
tree,4
regression,4
mil,4
similarity,4
compressor,4
knowledge,4
discriminative,4
vary,4
compress,4
change,4
denote,4
reliable,4
auxiliary,4
online,4
covariance,4
manuf,4
mainly,4
unseen,4
machining,4
window,4
wide,4
currently,4
oscillation,4
basic,4
locomotive,4
dation,4
operate,4
math,4
mathematical,4
res,4
ren,4
mathematically,4
limit,4
khan,4
kong,4
nonstationary,4
pit,4
compare,4
module,4
robust,4
moment,4
vib,4
reciprocate,4
softmax,4
effect,4
mount,4
internal,4
tra,4
interference,4
torque,4
need,4
ple,4
song,4
embed,4
rmsprop,4
unsupervised,4
duan,4
region,4
vector,4
transferable,4
complexity,4
key,4
minimize,4
calculation,4
simulation,4
rectiﬁed,4
neuralnetwork,3
pronostia,3
ness,3
nique,3
match,3
multilayer,3
natural,3
national,3
sen,3
normalize,3
ghel,3
gap,3
store,3
mechanism,3
grant,3
manner,3
successfully,3
revolution,3
guide,3
guideline,3
prosvirin,3
retrain,3
modiﬁed,3
grayscale,3
role,3
gspur,3
mining,3
reserve,3
see,3
saf,3
methodology,3
healthy,3
graph,3
mohammadi,3
space,3
sente,3
similar,3
kiranyaz,3
impressive,3
prevent,3
simulated,3
kaixuan,3
singular,3
sis,3
jinyang,3
preprocesse,3
physics,3
random,3
slow,3
premise,3
spectra,3
islam,3
recognit,3
pixel,3
isa,3
society,3
soft,3
international,3
inter,3
inf,3
intend,3
solve,3
intelligence,3
intell,3
instal,3
innovation,3
springer,3
kurtogram,3
maintenance,3
pecht,3
maintain,3
ord,3
organize,3
horizontal,3
outlier,3
housing,3
progress,3
overall,3
overview,3
initial,3
liftingnet,3
lifetime,3
production,3
shallow,3
stand,3
share,3
sharing,3
reliab,3
partial,3
relationship,3
particular,3
shock,3
layout,3
relation,3
related,3
shortcut,3
pay,3
sigmoid,3
laboratory,3
simulate,3
ﬂow,3
dynamic,3
edm,3
contrast,3
etc,3
control,3
technique,3
august,3
blindly,3
face,3
distinguish,3
box,3
branch,3
compact,3
author,3
systematically,3
epilog,3
convergence,3
extractor,3
conversion,3
entropy,3
form,3
alleviate,3
class,3
diversity,3
augmentation,3
fast,3
whether,3
drawback,3
xin,3
tanh,3
concise,3
come,3
vertical,3
besides,3
evidence,3
wheelset,3
aspect,3
evaluation,3
asme,3
xia,3
bin,3
fer,3
ference,3
article,3
evaluate,3
art,3
consume,3
arrange,3
former,3
convolutionalneural,3
zhong,3
enable,3
comprehensively,3
exponentially,3
acquisition,3
ﬁltere,3
decrease,3
ﬁnal,3
unbalanced,3
beginning,3
delta,3
unable,3
extent,3
cation,3
ﬁxe,3
deﬁne,3
without,3
support,3
compound,3
densenet,3
central,3
bayesian,3
adadelta,3
chart,3
direct,3
advantage,3
vibrationp,3
cost,3
tian,3
autoencoder,3
enlarge,3
synchronously,3
enhancement,3
try,3
cai,3
cui,3
enhanced,3
easy,3
cutting,3
avoid,3
beijing,3
cycle,3
database,3
minimax,2
community,2
compete,2
verstraete,2
minimum,2
scada,2
game,2
commercial,2
code,2
rotation,2
negative,2
vis,2
chinese,2
row,2
nature,2
naturally,2
choose,2
ruiz,2
nanjing,2
vibroengineere,2
cient,2
cincinnati,2
multivariate,2
running,2
multimodal,2
multifarious,2
multichannel,2
classical,2
mine,2
mse,2
clear,2
morlet,2
vgg,2
salakhutdinov,2
monotonicity,2
cluster,2
sadoughi,2
mental,2
min,2
cumulative,2
urgent,2
senanayaka,2
sense,2
convex,2
convnet,2
sensing,2
corresponding,2
could,2
couple,2
cover,2
crack,2
magnet,2
sequence,2
mach,2
cwt,2
milwaukee,2
lrelu,2
loccuﬁer,2
location,2
unfortunately,2
decompose,2
decouple,2
limited,2
like,2
lightweight,2
demodulate,2
udmale,2
shang,2
deploy,2
less,2
marginal,2
conventional,2
markov,2
marquardt,2
scheme,2
scholar,2
computer,2
variety,2
might,2
variate,2
sciences,2
concept,2
screw,2
merit,2
sea,2
mention,2
meng,2
medjaher,2
mechatron,2
conclusion,2
conduct,2
vanishing,2
consistent,2
mea,2
mbgd,2
seed,2
max,2
gabor,2
usa,2
convenience,2
seize,2
convenient,2
mary,2
rotatingmachinery,2
rgb,2
chang,2
