ngram,freq
fault diagnosis,270
neural network,146
convolutional neural,104
convolutional neural network,100
bear fault,83
convolutional network,80
datum set,62
bear fault diagnosis,61
vibration signal,53
deep learning,50
time range,45
life cycle,42
element template,41
feature extraction,39
network base,39
time series,37
deep convolutional,35
real time,32
right click,30
training set,29
symbol select,28
time frequency,26
rotate machinery,26
train model,25
attribute template,24
datum reference,24
operating condition,24
data set,23
remain useful,23
feature learning,23
datum use,22
system explorer,22
would like,22
useful life,22
remain useful life,22
training datum,22
big datum,22
convolutional layer,21
configuration pane,21
deep convolutional neural,20
vibration datum,20
transfer learn,19
amount datum,19
image feature,19
model training,18
model use,18
feature map,18
gru network,18
datum datum,17
use train,17
select add,17
feature selection,17
diagnosis use,17
raw signal,17
digital state,17
ieee access,16
datum management,16
fault diagnosis use,16
hyper parameter,16
condition monitoring,16
datum type,16
result show,16
neural network base,16
datum collection,16
datum source,16
point datum,15
data item,15
transfer learning,15
lstm network,15
feature learn,15
table symbol,15
datum point,15
datum quality,14
datum archive,14
good practice,14
datum asset,14
label datum,14
use model,14
test set,14
display click,14
train cnn,14
base deep,14
unit measure,14
sensor datum,13
standard deviation,13
value time,13
search criterion,13
create new,13
element select,13
large amount,13
learning rate,13
datum collect,13
large number,13
display select,13
end time,13
image processing,12
model base,12
fault detection,12
base fault,12
datum generate,12
data reference,12
method base,12
gradient descent,12
input datum,12
propose cnn,12
training test,12
deep cnn,12
decision making,12
probability distribution,12
use datum,12
comparison table,11
fault diagnosis base,11
pencil icon,11
use time,11
roll element,11
set use,11
layer feature,11
datum different,11
serial number,11
model train,11
diagnosis base,11
learning base,11
wavelet transform,11
learning model,11
race fault,11
frequency domain,11
regression model,11
type datum,11
outer race,10
vision display,10
gear fault,10
miss datum,10
training process,10
start end,10
pressure attribute,10
attribute name,10
use case,10
make sure,10
rolling element,10
method use,10
element attribute,10
datum model,10
quality datum,10
short term,10
element bear,10
fully connect,10
case western,9
diagnostic model,9
use convolutional,9
deep neural network,9
menu select,9
column header,9
case study,9
connect layer,9
page note,9
rotation speed,9
deep neural,9
long short,9
element element,9
worth note,9
value type,9
principal component,9
click save,9
element create,9
select attribute,9
add datum,9
power consumption,9
long short term,9
example use,9
network base fault,9
datum format,9
input output,9
learning method,8
also use,8
image datum,8
select asset,8
pane select,8
machinery fault diagnosis,8
signal processing,8
convolution neural network,8
toolbar click,8
gate recurrent unit,8
data distribution,8
gate recurrent,8
short term memory,8
working condition,8
recurrent unit,8
different type,8
convolution neural,8
object type,8
save change,8
generate datum,8
page click,8
model performance,8
term memory,8
fully connect layer,8
raw datum,8
well understand,8
hilbert huang,8
parameter value,8
datum matrix,8
type column,8
need create,8
point attribute,8
asset model,8
machine learning,8
set datum,8
build new,8
datum item,8
search root,8
need make,8
select click,8
machinery fault,8
find element,8
look like,8
element bearing,8
attribute select,7
time request,7
huang transform,7
auto encoder,7
hilbert huang transform,7
attribute display,7
outer race fault,7
series datum,7
maximum value,7
network model,7
click symbol,7
learning algorithm,7
template create,7
model serial,7
activation function,7
system use,7
search select,7
data drive,7
belief network,7
time consume,7
datum test,7
pool layer,7
reference architecture,7
hold ctrl,7
select item,7
feature extract,7
start end time,7
feature image,7
datum analysis,7
multiple source,7
deep learning base,7
use cnn,7
check box,7
selection model,7
western reserve,7
learn feature,7
page select,7
change display,7
vision pattern,7
inner race,7
source datum,7
algorithm use,7
training test set,7
model serial number,7
pattern recognition,7
extract feature,7
time frequency domain,7
case western reserve,7
new child,7
non stationary,7
datum structure,6
table select,6
display time,6
use dataset,6
university beijing,6
layer convolutional,6
datum include,6
next section,6
datum need,6
datum data,6
name attribute,6
object datum,6
group plc,6
datum time,6
select value,6
model parameter,6
datum acquisition,6
often call,6
datum well,6
technique use,6
dataset description,6
datum may,6
like page,6
ctrl key,6
relational database,6
page right,6
ieee transaction,6
extraction method,6
use multi,6
test datum,6
large amount datum,6
root level,6
show page,6
feature extraction method,6
loss function,6
click symbol select,6
starting point,6
start time,6
final exam,6
computer vision,6
use training,6
aveva group,6
aveva group plc,6
time fouri,6
time context,6
batch gradient,6
user account,6
case use,6
beijing china,6
show value,6
image use,6
build model,6
button select,6
page open,6
want create,6
analysis process,6
write permission,6
widely use,6
add multi,6
hold ctrl key,6
add new,6
list table,6
linear unit,6
also possible,6
frequency analysis,6
historical datum,6
representation raw,6
fouri transform,6
analysis method,6
additional attribute,6
time series datum,6
window select,5
base feature,5
might need,5
datum train,5
prediction model,5
vector machine,5
include datum,5
batch gradient descent,5
support vector,5
dimensionality reduction,5
address problem,5
support vector machine,5
accurate prediction,5
select group,5
model design,5
search result,5
file format,5
attribute column,5
read access,5
deep learning enable,5
multi channel,5
develop deep,5
also useful,5
drag drop,5
want make,5
item display,5
still need,5
learning framework,5
deep learning model,5
wang propose,5
western reserve university,5
previous section,5
reserve university,5
set base,5
process datum,5
deep belief network,5
deep belief,5
algorithm propose,5
two type,5
learning enable,5
select trend,5
datum use train,5
feature extractor,5
datum sample,5
network remain,5
date last,5
university beijing china,5
university china,5
select change,5
click refresh,5
use tag,5
cnn learn,5
cnn model,5
rolling element bearing,5
show table,5
datum distribution,5
time frequency analysis,5
high level,5
condition ieee,5
gaussian kernel,5
click edit,5
often use,5
system datum,5
high speed,5
configuration pane select,5
data type,5
experimental datum,5
use create,5
example set,5
simple example,5
short time,5
covariance matrix,5
use display,5
mechanical equipment,5
click new,5
condition use,5
choose good,5
rolling bear,5
datum preprocesse,5
user access,5
datum make,5
time fouri transform,5
new training,5
symbol right,5
image representation,5
click apply,5
hierarchical structure,5
newly create,5
use train model,5
button toolbar,5
image feature extraction,5
get value,4
frequency khz,4
frequency representation,4
list show,4
element set,4
may cause,4
may also,4
make modification,4
gear icon,4
time datum,4
example show,4
signal time,4
short time fouri,4
make use,4
signal use,4
mechanical system,4
time stamp,4
list display,4
feature input,4
mechanical fault,4
technique include,4
frequency image,4
display user,4
train fault,4
show attribute,4
might want,4
machine condition,4
three main,4
low frequency,4
mini batch,4
first step,4
learning use,4
empirical mode decomposition,4
fault severity,4
fault condition,4
figure datum,4
mode decomposition,4
time frequency image,4
drag location,4
look like page,4
time frequency representation,4
map datum,4
machine learning model,4
single period,4
distribution function,4
empirical mode,4
temperature attribute,4
many case,4
enable feature,4
relate data,4
sensor different,4
change make,4
right table,4
permission page,4
image input,4
value datum,4
value decomposition,4
value exist,4
bulk edit,4
plc subsidiary,4
build edit,4
value information,4
result table,4
black box,4
value show,4
base image,4
result look,4
performance degradation,4
performance datum,4
page edit,4
role datum,4
use input,4
computer vision pattern,4
model output,4
use new,4
column name,4
image analysis,4
image base,4
parameter define,4
collect datum,4
rolling element bear,4
pay attention,4
click display,4
rolling bear fault,4
label sample,4
chen shen,4
result datum,4
result analysis,4
prediction accuracy,4
prediction result,4
weight bias,4
random variable,4
well performance,4
representation datum,4
representa tion,4
also change,4
also call,4
also allow,4
allow user,4
inner race fault,4
address issue,4
input cnn,4
repeat step,4
adaptive deep,4
recurrent unit gru,4
analysis datum,4
provide overview,4
analysis technique,4
attribute datum,4
stage use,4
key click,4
average value,4
view time,4
view time series,4
increase number,4
attribute add,4
want use,4
associate datum,4
processing unit,4
product name,4
wang zhang,4
product name trademark,4
want see,4
large one,4
page update,4
use hierarchical,4
network also,4
name trademark,4
take account,4
datum test datum,4
type page,4
datum store,4
need set,4
network cnn,4
datum feature,4
datum retrieve,4
datum process,4
select datum,4
datum multiple,4
use generate,4
