word,tf
datum,1214
use,704
model,528
fault,448
network,371
display,368
attribute,365
time,365
element,361
select,356
value,346
set,330
diagnosis,330
feature,329
base,311
click,286
page,278
image,252
method,251
template,249
convolutional,247
data,220
create,201
cnn,197
table,194
one,193
type,190
well,188
learning,184
deep,181
reference,174
change,172
signal,166
also,160
neural,160
asset,160
example,159
information,157
system,154
result,153
parameter,152
application,152
bear,148
training,148
show,148
different,145
new,145
process,144
dataset,142
name,142
symbol,140
database,133
right,132
point,132
two,131
need,127
algorithm,124
condition,119
tank,116
train,116
make,116
analysis,116
follow,113
search,112
trend,112
input,111
number,111
propose,109
prediction,109
machine,108
add,108
vision,108
layer,106
domain,106
distribution,105
sensor,105
user,102
label,102
include,101
learn,101
work,100
build,100
event,99
section,97
vibration,97
case,96
column,96
ieee,95
bearing,95
access,95
see,94
apply,93
open,93
ﬂame,92
area,92
object,91
tag,91
transfer,90
configuration,90
multi,89
option,89
level,86
technique,85
state,85
approach,85
require,84
provide,83
design,83
window,82
may,82
variable,81
size,78
format,78
pane,77
multiple,76
life,75
classiﬁcation,75
note,75
performance,74
view,74
update,72
frequency,72
tion,72
like,71
test,71
sample,71
category,71
generate,70
unit,70
wang,70
permission,70
representation,69
large,69
present,68
item,68
raw,68
allow,68
collection,68
stage,67
standard,67
list,67
range,67
health,66
mode,66
production,66
high,65
combustion,65
three,65
find,65
child,64
contain,64
boiler,64
convolution,63
mean,63
row,63
zhang,63
server,63
real,63
would,63
within,63
want,62
architecture,61
current,61
step,61
part,60
scale,60
source,60
call,60
check,60
next,60
edit,59
return,59
property,59
vector,59
develop,58
speed,58
security,58
however,58
button,57
review,57
exist,57
control,57
transform,56
link,56
start,56
many,55
choose,55
function,55
tab,55
rate,55
therefore,55
detail,55
selection,55
obtain,54
building,54
context,54
since,53
perform,53
calculation,53
good,53
machinery,53
represent,52
problem,52
save,52
default,52
output,52
way,52
single,52
matrix,52
get,51
another,51
describe,51
trans,50
field,50
run,50
important,50
setting,50
study,49
gear,49
first,49
fig,49
enable,49
industrial,49
monitoring,49
often,49
map,49
possible,49
last,48
management,48
intelligent,48
liu,48
service,48
term,47
decision,47
texture,47
series,47
reduce,47
without,47
processing,47
order,47
available,46
average,46
parent,46
query,46
structure,46
still,46
group,46
extraction,46
text,46
oil,45
take,45
read,45
key,45
look,45
cycle,45
rotate,44
certain,44
give,44
motor,44
wavelet,44
introduce,43
could,43
challenge,43
characteristic,43
mechanical,43
ind,43
location,43
jiao,42
chen,42
storage,42
due,42
move,42
weight,42
figure,42
research,42
quality,42
client,42
useful,42
tool,41
folder,41
issue,41
operation,41
consider,41
measure,41
measurement,41
menu,41
extract,41
file,40
collect,40
achieve,40
date,40
low,40
drag,39
navigate,39
diagnostic,39
copy,39
configure,39
gabor,39
pattern,38
digital,38
identity,38
task,38
phase,38
top,38
technology,37
pca,37
second,37
help,37
adversarial,37
content,37
gradient,37
gearbox,37
usually,37
general,37
ing,36
business,36
end,36
damage,36
miss,36
depend,36
original,36
improve,36
kernel,36
component,36
refer,36
even,36
batch,36
become,36
north,36
hierarchy,36
regression,36
know,35
pse,35
specific,35
small,35
terminal,35
construct,35
similar,35
close,35
thus,35
addition,35
zhao,35
icon,35
detection,35
deployment,34
error,34
classification,34
common,34
fusion,34
library,34
uom,34
modify,34
additional,34
non,34
neurocompute,34
requirement,34
individual,34
remain,34
residual,33
form,33
temperature,33
overview,33
rolling,33
previous,33
metadata,33
accuracy,33
velocity,33
equipment,33
framework,33
purpose,32
associate,32
product,32
simple,32
description,32
gru,32
target,32
space,32
adaptation,32
difference,32
define,32
builder,31
aveva,31
syst,31
hht,31
increase,31
understand,31
filter,31
back,31
dimension,31
amount,31
might,31
automatically,31
derive,31
big,31
experimental,30
connection,30
far,30
failure,30
dakota,30
conv,30
identify,30
predict,30
comparison,30
engineering,30
lstm,30
shift,30
respectively,30
monitor,30
long,30
rul,30
linear,30
pad,30
connect,29
glcm,29
estimate,29
several,29
operating,29
via,29
verify,29
degradation,29
scalogram,29
delete,29
employ,29
summary,29
university,29
address,29
directly,28
spectrogram,28
instance,28
platform,28
compute,28
load,28
substitution,28
switch,28
volume,27
square,27
box,27
yang,27
dimensional,27
various,27
sql,27
course,27
metric,27
maximum,27
audit,27
able,27
practice,27
limit,27
accord,27
although,27
must,27
main,27
adaptive,27
environment,27
organisation,27
place,27
correlation,26
every,26
maintenance,26
relationship,26
enumeration,26
plot,26
aim,26
store,26
ingestion,26
noise,26
hyperparameter,26
team,26
power,26
transformation,26
hoc,26
toolbar,26
short,26
specify,26
bar,26
scenario,26
refresh,26
huang,25
strategy,25
message,25
total,25
arrange,25
video,25
string,25
support,25
omega,25
combine,25
deploy,25
correspond,25
knowledge,25
instead,25
exploration,25
color,25
explorer,25
downtime,25
initial,25
numerical,24
mech,24
traditional,24
traffic,24
replace,24
local,24
frame,24
publish,24
analytic,24
utilize,24
recognition,24
pressure,24
line,24
following,24
hide,24
introduction,23
syntax,23
reset,23
choice,23
capture,23
integrate,23
statistical,23
relevant,23
highlight,23
estimation,23
status,23
complex,23
ability,23
relate,23
drop,23
optimization,23
construction,23
enter,23
ﬁeld,23
rpc,23
necessary,23
fill,23
cloud,23
paper,23
graphic,23
china,22
literature,22
popular,22
document,22
goal,22
interest,22
interval,22
lin,22
medium,22
social,22
either,22
browser,22
explore,22
complete,22
osisoft,22
concept,22
direction,22
enhance,22
probability,22
journal,22
loss,22
combination,22
side,22
iso,22
criterion,22
retrieve,21
guo,21
convert,21
hierarchical,21
account,21
consist,21
capability,21
class,21
hold,21
clear,21
external,21
road,21
compare,21
cost,21
feed,21
adopt,21
electron,21
trail,21
ensemble,21
gao,21
determine,21
receive,21
share,21
industry,21
simply,21
write,20
sgd,20
cwru,20
cache,20
gaussian,20
pre,20
cluster,20
basis,20
online,20
four,20
human,20
novel,20
rather,20
engine,20
hour,20
cnfd,20
researcher,20
comput,20
occur,20
visual,20
together,20
development,20
cover,20
article,20
stft,20
involve,20
ensure,20
period,20
statistic,20
encoding,19
gauge,19
less,19
accurate,19
trace,19
home,19
operator,19
root,19
software,19
request,19
device,19
sun,19
already,19
suitable,19
categorical,19
relative,19
creation,19
carry,19
much,19
header,19
procedure,19
practical,19
public,19
ﬁlter,19
gate,19
mark,19
hindawi,19
acme,19
site,18
chart,18
archive,18
separate,18
come,18
please,18
gan,18
random,18
optimisation,18
effective,18
year,18
calculate,18
discuss,18
classiﬁer,18
planetary,18
internal,18
always,18
appear,18
record,18
variance,18
privacy,18
easy,18
edge,18
fit,18
advanced,18
rule,18
yan,18
world,18
let,18
spectrum,18
grid,18
identiﬁcation,18
typically,18
testing,18
principle,18
pooling,18
ture,18
especially,18
publishing,18
manage,18
try,18
normal,18
expect,18
retrieval,17
navigation,17
science,17
evaluation,17
dashboard,17
reason,17
shockandvibration,17
correct,17
outline,17
visualisation,17
workspace,17
furthermore,17
quantity,17
focus,17
recent,17
documentation,17
iec,17
mathematical,17
acquire,17
race,17
deal,17
role,17
encoder,17
solution,17
burner,17
lead,17
expand,17
left,17
hyper,17
inform,17
six,17
shaft,17
risk,17
energy,17
express,17
overall,17
deviation,16
post,16
position,16
particular,16
tune,16
owner,16
definition,16
dropdown,16
experiment,16
around,16
potential,16
mention,16
manually,16
double,16
preprocesse,16
press,16
early,16
currently,16
computer,16
memory,16
exclude,16
match,16
meas,16
uncertainty,16
insight,16
eng,16
comprehensive,16
drive,16
outer,16
variant,16
author,16
vary,16
gas,16
assign,16
han,16
basel,16
basic,16
per,16
optional,16
whose,16
generative,15
validation,15
special,15
onto,15
final,15
full,15
assessment,15
minimum,15
recurrent,15
later,15
acs,15
appropriate,15
handle,15
sequence,15
fact,15
factor,15
personal,15
direct,15
additionally,15
automatic,15
fully,15
ctrl,15
adam,15
tree,15
sure,15
produce,15
computation,15
evaluate,15
flame,15
remove,15
optimal,14
turbine,14
notice,14
repeat,14
camera,14
action,14
mapping,14
mmd,14
electric,14
nutshell,14
rig,14
labelling,14
ingest,14
city,14
wear,14
montreal,14
pixel,14
cross,14
import,14
administrator,14
expert,14
company,14
precision,14
community,14
corporation,14
length,14
hybrid,14
node,14
across,14
version,14
pencil,14
sci,14
vehicle,14
understanding,14
